e, f, group, score, freq, n, avgDeadEnemies, avgAliveFriends, avgAlive
3,  0, g8, 0, 150, 11, 0.000000, 0.000000, 0.000000
3,  0, g8, 1, 814, 11, 0.289350, 0.000000, 0.639978
3,  0, g8, 2, 789, 11, 1.083642, 0.000000, 0.916358
3,  0, g8, 3, 232, 11, 0.989089, 0.000000, 0.468378
3,  0, g8, 4, 15, 11, 0.186839, 0.000000, 0.062280
3,  0, g9, 0, 84, 11, 0.000000, 0.000000, 0.000000
3,  0, g9, 1, 681, 11, 0.268585, 0.000000, 0.695027
3,  0, g9, 2, 875, 11, 1.179110, 0.000000, 0.820890
3,  0, g9, 3, 308, 11, 1.029039, 0.000000, 0.434015
3,  0, g9, 4, 52, 11, 0.582083, 0.000000, 0.194028
4,  0, dumb, 0, 933, 11, 0.000000, 0.000000, 0.000000
4,  0, dumb, 1, 725, 11, 0.347353, 0.000000, 0.578178
4,  0, dumb, 2, 254, 11, 1.155628, 0.000000, 0.844372
4,  0, dumb, 3, 66, 11, 1.477510, 0.000000, 0.621886
4,  0, dumb, 4, 21, 11, 0.753906, 0.000000, 0.246065
4,  0, dumb, 5, 1, 11, 0.151912, 0.000000, 0.037978
4,  0, silent, 0, 42, 11, 0.000000, 0.000000, 0.000000
4,  0, silent, 1, 535, 11, 0.467084, 0.000000, 0.532916
4,  0, silent, 2, 889, 11, 1.134705, 0.000000, 0.833867
4,  0, silent, 3, 422, 11, 1.387816, 0.000000, 0.612128
4,  0, silent, 4, 95, 11, 0.404509, 0.000000, 0.114398
4,  0, silent, 5, 17, 11, 0.979478, 0.000000, 0.244869
4,  0, g1, 0, 76, 11, 0.000000, 0.000000, 0.000000
4,  0, g1, 1, 595, 11, 0.270656, 0.000000, 0.562924
4,  0, g1, 2, 878, 11, 1.126142, 0.000000, 0.792450
4,  0, g1, 3, 336, 11, 2.042770, 0.000000, 0.957230
4,  0, g1, 4, 80, 11, 0.568732, 0.000000, 0.171577
4,  0, g1, 5, 35, 11, 0.560474, 0.000000, 0.140118
4,  0, g2, 0, 126, 11, 0.000000, 0.000000, 0.000000
4,  0, g2, 1, 478, 11, 0.231583, 0.000000, 0.517238
4,  0, g2, 2, 822, 11, 1.139248, 0.000000, 0.860752
4,  0, g2, 3, 439, 11, 1.412696, 0.000000, 0.637593
4,  0, g2, 4, 112, 11, 0.835585, 0.000000, 0.270216
4,  0, g2, 5, 23, 11, 0.250408, 0.000000, 0.062602
4,  0, g3, 0, 205, 11, 0.000000, 0.000000, 0.000000
4,  0, g3, 1, 582, 11, 0.294260, 0.000000, 0.623965
4,  0, g3, 2, 770, 11, 1.112198, 0.000000, 0.805527
4,  0, g3, 3, 345, 11, 1.383834, 0.000000, 0.623724
4,  0, g3, 4, 73, 11, 0.914122, 0.000000, 0.287874
4,  0, g3, 5, 25, 11, 0.276531, 0.000000, 0.069133
4,  0, g4, 0, 34, 11, 0.000000, 0.000000, 0.000000
4,  0, g4, 1, 554, 11, 0.301989, 0.000000, 0.508118
4,  0, g4, 2, 886, 11, 1.107712, 0.000000, 0.892288
4,  0, g4, 3, 394, 11, 1.656170, 0.000000, 0.674282
4,  0, g4, 4, 113, 11, 0.790594, 0.000000, 0.252591
4,  0, g4, 5, 19, 11, 0.128773, 0.000000, 0.032193
4,  0, g5, 0, 137, 11, 0.000000, 0.000000, 0.000000
4,  0, g5, 1, 443, 11, 0.262314, 0.000000, 0.737686
4,  0, g5, 2, 869, 11, 1.040770, 0.000000, 0.860697
4,  0, g5, 3, 425, 11, 1.462553, 0.000000, 0.649764
4,  0, g5, 4, 94, 11, 0.799092, 0.000000, 0.258501
4,  0, g5, 5, 32, 11, 0.924179, 0.000000, 0.231045
4,  0, g6, 0, 75, 11, 0.000000, 0.000000, 0.000000
4,  0, g6, 1, 551, 11, 0.234166, 0.000000, 0.524421
4,  0, g6, 2, 860, 11, 1.138044, 0.000000, 0.861956
4,  0, g6, 3, 399, 11, 1.650578, 0.000000, 0.643989
4,  0, g6, 4, 108, 11, 1.359246, 0.000000, 0.201046
4,  0, g6, 5, 7, 11, 0.104045, 0.000000, 0.026011
4,  0, g7, 0, 122, 11, 0.000000, 0.000000, 0.000000
4,  0, g7, 1, 484, 11, 0.350168, 0.000000, 0.580486
4,  0, g7, 2, 827, 11, 1.130213, 0.000000, 0.869787
4,  0, g7, 3, 427, 11, 1.560603, 0.000000, 0.561915
4,  0, g7, 4, 115, 11, 1.061239, 0.000000, 0.348107
4,  0, g7, 5, 25, 11, 0.197145, 0.000000, 0.049286
4,  0, g8, 0, 90, 11, 0.000000, 0.000000, 0.000000
4,  0, g8, 1, 601, 11, 0.244530, 0.000000, 0.701725
4,  0, g8, 2, 831, 11, 1.129540, 0.000000, 0.870460
4,  0, g8, 3, 396, 11, 1.595094, 0.000000, 0.621879
4,  0, g8, 4, 78, 11, 1.112276, 0.000000, 0.365082
4,  0, g8, 5, 4, 11, 0.077432, 0.000000, 0.019358
4,  0, g9, 0, 57, 11, 0.000000, 0.000000, 0.000000
4,  0, g9, 1, 473, 11, 0.280168, 0.000000, 0.719832
4,  0, g9, 2, 895, 11, 1.138387, 0.000000, 0.823530
4,  0, g9, 3, 448, 11, 1.325495, 0.000000, 0.573419
4,  0, g9, 4, 105, 11, 0.648689, 0.000000, 0.209212
4,  0, g9, 5, 22, 11, 0.104876, 0.000000, 0.026219
5,  0, dumb, 0, 728, 11, 0.000000, 0.000000, 0.000000
5,  0, dumb, 1, 817, 11, 0.358514, 0.000000, 0.484743
5,  0, dumb, 2, 320, 11, 1.157087, 0.000000, 0.842913
5,  0, dumb, 3, 90, 11, 1.697122, 0.000000, 0.731156
5,  0, dumb, 4, 35, 11, 1.690869, 0.000000, 0.504980
5,  0, dumb, 5, 8, 11, 0.566903, 0.000000, 0.136633
5,  0, dumb, 6, 2, 11, 0.102360, 0.000000, 0.020472
5,  0, silent, 0, 35, 11, 0.000000, 0.000000, 0.000000
5,  0, silent, 1, 365, 11, 0.553106, 0.000000, 0.446894
5,  0, silent, 2, 832, 11, 1.105575, 0.000000, 0.748429
5,  0, silent, 3, 557, 11, 1.699433, 0.000000, 0.744200
5,  0, silent, 4, 178, 11, 1.049826, 0.000000, 0.325818
